Alveoli,Count
C5A2Ch3H13d2_B,2
C4A11Ch8H12d2_B,2
C3A13Ch1H5d2_A,2
C1A6Ch1H6d1_A,2
C8A7Ch1H13d2_B,2
C3A10Ch7H16d2_B,2
C7A2Ch2H12d2_A,2
C4A7Ch3H10d1_B,4
C4A6Ch2H5d1_A,2
C4A7Ch3H1d1_B,2
C4A7Ch5H5d1_B,3
C7A6Ch3H4d2_A,1
C5A2Ch3H14d1_B,2
C4A11Ch8H12d2_A,2
C3A13Ch1H6d1_B,2
C1A6Ch1H6d1_B,2
C8A7Ch1H14d1_A,2
C3A10Ch8H15d2_A,2
C7A2Ch2H13d1_B,2
C4A7Ch3H10d2_B,4
C4A6Ch2H5d2_A,2
C4A7Ch3H1d2_B,2
C4A7Ch5H5d2_A,3
C7A10Ch5H3d1_A,1
C5A2Ch3H14d1_A,2
C4A11Ch8H13d1_A,2
C3A13Ch1H6d1_A,2
C1A6Ch1H6d2_A,2
C8A7Ch1H14d2_A,2
C3A10Ch7H13d1_A,2
C7A2Ch2H17d2_B,2
C4A7Ch3H10d2_A,4
C4A6Ch2H5d2_B,2
C4A7Ch3H1d2_A,2
C4A7Ch5H5d2_B,3
C7A10Ch5H3d2_A,1
C5A2Ch3H14d2_A,2
C4A11Ch8H13d1_B,2
C3A13Ch1H6d2_A,2
C1A6Ch1H6d2_B,2
C8A7Ch1H14d2_B,2
C3A10Ch7H18d1_A,2
C7A2Ch1H10d1_B,2
C4A7Ch3H11d1_A,4
C4A6Ch2H6d1_A,2
C4A7Ch3H2d1_A,2
C4A7Ch5H6d1_A,3
C5A2Ch3H14d2_B,2
C4A11Ch8H13d2_A,2
C3A13Ch1H6d2_B,2
C1A6Ch1H7d1_A,2
C8A7Ch1H15d1_B,2
C6A7Ch10H16d2_B,2
C7A2Ch2H16d2_B,2
C4A7Ch3H11d1_B,4
C4A6Ch2H6d1_B,2
C4A7Ch3H2d1_B,2
C4A7Ch5H6d1_B,3
C5A2Ch3H15d1_A,2
C4A11Ch8H13d2_B,2
C3A13Ch1H7d1_A,2
C1A6Ch1H7d1_B,4
C8A7Ch1H15d2_B,2
C3A10Ch7H13d1_B,2
C7A2Ch1H11d2_B,2
C4A7Ch3H11d2_B,4
C4A6Ch2H6d2_A,2
C4A7Ch3H2d2_A,2
C4A7Ch5H6d2_A,3
C5A2Ch3H15d1_B,2
C4A11Ch8H14d1_A,2
C3A13Ch1H7d1_B,2
C1A6Ch1H7d2_B,2
C8A7Ch1H16d2_A,2
C3A10Ch8H14d2_B,2
C7A2Ch2H18d1_B,2
C4A7Ch3H11d2_A,4
C4A6Ch2H6d2_B,2
C4A7Ch3H2d2_B,2
C4A7Ch5H6d2_B,3
C5A2Ch3H15d2_A,2
C4A11Ch8H14d1_B,2
C3A13Ch1H7d2_B,2
C1A6Ch1H7d2_A,2
C8A7Ch1H16d2_B,2
C6A7Ch11H8d2_A,2
C7A2Ch2H17d1_A,2
C4A7Ch3H12d1_B,4
C4A6Ch2H7d1_A,2
C4A7Ch3H3d1_A,2
C4A7Ch5H7d1_A,3
C5A2Ch3H15d2_B,2
C4A11Ch8H14d2_B,2
C3A13Ch1H7d2_A,2
C1A6Ch1H8d1_A,2
C8A7Ch1H17d1_A,2
C3A10Ch8H9d2_A,2
C7A2Ch1H15d1_A,2
C4A7Ch3H12d1_A,4
C4A6Ch2H7d1_B,2
C4A7Ch3H3d1_B,2
C4A7Ch5H7d1_B,3
C5A2Ch3H16d1_A,2
C4A11Ch8H14d2_A,2
C3A13Ch1H8d1_B,2
C1A6Ch1H8d1_B,2
C8A7Ch1H17d2_A,2
C6A7Ch10H17d1_B,2
C7A2Ch1H10d2_A,2
C4A7Ch3H12d2_B,4
C4A6Ch2H7d2_A,2
C4A7Ch3H3d2_A,2
C4A7Ch5H7d2_A,3
C5A2Ch3H16d1_B,2
C4A11Ch8H15d1_B,2
C3A13Ch1H8d1_A,2
C1A6Ch1H8d2_A,2
C8A7Ch1H17d1_B,2
C6A7Ch11H1d2_A,2
C7A2Ch1H13d2_A,2
C4A7Ch3H12d2_A,4
C4A6Ch2H7d2_B,2
C4A7Ch3H3d2_B,2
C4A7Ch5H7d2_B,3
C5A2Ch3H16d2_A,2
C4A11Ch8H15d1_A,2
C3A13Ch1H8d2_B,2
C1A6Ch1H8d2_B,2
C8A7Ch1H17d2_B,2
C3A10Ch9H9d2_B,2
C7A2Ch2H11d1_B,2
C4A7Ch3H13d1_B,4
C4A6Ch2H8d1_A,2
C4A7Ch3H4d1_A,2
C4A7Ch5H8d1_A,3
C5A2Ch3H16d2_B,2
C4A11Ch8H15d2_A,2
C3A13Ch1H8d2_A,2
C1A6Ch1H9d1_A,2
C8A7Ch1H18d2_A,2
C3A10Ch7H13d2_B,2
C7A2Ch1H15d1_B,2
C4A7Ch3H13d1_A,4
C4A6Ch2H8d1_B,2
C4A7Ch3H4d1_B,2
C4A7Ch5H8d1_B,3
C5A2Ch3H17d1_B,2
C4A11Ch8H15d2_B,2
C3A13Ch1H9d1_A,2
C1A6Ch1H9d1_B,2
C8A7Ch2H1d2_A,2
C6A7Ch11H11d2_A,2
C7A2Ch1H12d2_B,2
C4A7Ch3H13d2_B,4
C4A6Ch2H8d2_A,2
C4A7Ch3H4d2_A,2
C4A7Ch5H8d2_A,3
C5A2Ch3H17d1_A,2
C4A11Ch8H16d1_A,2
C3A13Ch1H9d1_B,2
C1A6Ch1H9d2_B,2
C8A7Ch2H1d1_B,2
C6A7Ch11H6d2_B,2
C7A2Ch2H18d2_B,2
C4A7Ch3H13d2_A,4
C4A6Ch2H8d2_B,2
C4A7Ch3H4d2_B,2
C4A7Ch5H8d2_B,3
C5A2Ch3H17d2_A,2
C4A11Ch8H16d1_B,2
C3A13Ch1H9d2_B,2
C1A6Ch1H9d2_A,2
C8A7Ch2H2d2_A,2
C3A10Ch9H11d2_A,2
C7A2Ch1H14d1_A,2
C4A7Ch3H14d1_A,4
C4A6Ch2H9d1_A,2
C4A7Ch3H5d1_A,4
C4A7Ch5H9d1_A,3
C5A2Ch3H17d2_B,2
C4A11Ch8H16d2_B,2
C3A13Ch1H9d2_A,2
C1A6Ch1H10d1_B,2
C8A7Ch2H2d1_B,2
C3A10Ch9H13d1_B,2
C7A2Ch2H11d1_A,2
C4A7Ch3H14d1_B,4
C4A6Ch2H9d1_B,2
C4A7Ch3H5d1_B,4
C4A7Ch5H9d1_B,3
C5A2Ch3H18d1_A,2
C4A11Ch8H16d2_A,2
C3A13Ch1H10d1_A,2
C1A6Ch1H10d1_A,2
C8A7Ch2H3d1_A,2
C6A7Ch11H3d1_A,2
C7A2Ch2H13d2_B,2
C4A7Ch3H14d2_B,4
C4A6Ch2H9d2_A,2
C4A7Ch3H5d2_A,4
C4A7Ch5H9d2_B,3
C5A2Ch3H18d1_B,2
C4A11Ch8H17d1_A,2
C3A13Ch1H10d1_B,2
C1A6Ch1H10d2_A,2
C8A7Ch2H3d1_B,2
C6A7Ch11H8d1_A,2
C7A2Ch1H15d2_B,2
C4A7Ch3H14d2_A,4
C4A6Ch2H9d2_B,2
C4A7Ch3H5d2_B,4
C4A7Ch5H9d2_A,3
C5A2Ch3H18d2_A,2
C4A11Ch8H17d1_B,2
C3A13Ch1H10d2_A,2
C1A6Ch1H10d2_B,2
C8A7Ch2H3d2_B,2
C6A7Ch10H14d2_B,2
C7A2Ch2H16d1_A,2
C4A7Ch3H15d1_B,4
C4A6Ch2H10d1_A,2
C4A7Ch3H6d1_A,4
C4A7Ch5H10d1_A,3
C5A2Ch3H18d2_B,2
C4A11Ch8H17d2_A,2
C3A13Ch1H10d2_B,2
C1A6Ch1H11d1_A,2
C8A7Ch2H4d2_B,2
C3A10Ch9H14d1_B,2
C7A2Ch2H13d2_A,2
C4A7Ch3H15d1_A,4
C4A6Ch2H10d1_B,2
C4A7Ch3H6d1_B,4
C4A7Ch5H10d1_B,3
C5A2Ch4H10d1_A,2
C4A11Ch8H17d2_B,2
C3A13Ch1H11d1_B,2
C1A6Ch1H11d1_B,2
C8A7Ch2H5d2_A,2
C3A10Ch8H13d1_A,2
C7A2Ch1H16d1_B,2
C4A7Ch3H15d2_A,4
C4A6Ch2H10d2_A,2
C4A7Ch3H6d2_A,4
C4A7Ch5H10d2_A,3
C5A2Ch4H10d1_B,2
C4A11Ch8H18d1_A,2
C3A13Ch1H11d1_A,2
C1A6Ch1H11d2_B,2
C8A7Ch2H5d1_B,2
C6A4Ch9H16d1_A,2
C7A14Ch9H3d1_A,2
C4A7Ch3H15d2_B,4
C4A6Ch2H10d2_B,2
C4A7Ch3H6d2_B,4
C4A7Ch5H10d2_B,3
C5A2Ch4H10d2_A,2
C4A11Ch8H18d1_B,2
C3A13Ch1H11d2_B,2
C1A6Ch1H11d2_A,2
C8A7Ch2H6d1_A,2
C3A10Ch7H18d2_A,2
C7A2Ch1H16d1_A,2
C4A7Ch3H16d1_A,4
C4A6Ch2H11d1_B,2
C4A7Ch3H7d1_A,4
C4A7Ch5H11d1_B,3
C5A2Ch4H10d2_B,2
C4A11Ch8H18d2_B,2
C3A13Ch1H11d2_A,2
C1A6Ch1H12d1_A,2
C8A7Ch2H6d1_B,2
C6A7Ch11H4d2_B,2
C7A2Ch2H10d2_A,2
C4A7Ch3H16d1_B,4
C4A6Ch2H11d1_A,2
C4A7Ch3H7d1_B,4
C4A7Ch5H11d1_A,3
C5A2Ch4H11d1_A,2
C4A11Ch8H18d2_A,2
C3A13Ch1H12d1_B,2
C1A6Ch1H12d1_B,2
C8A7Ch2H6d2_B,2
C3A10Ch9H18d2_B,2
C7A2Ch2H16d1_B,2
C4A7Ch3H16d2_A,4
C4A6Ch2H11d2_A,2
C4A7Ch3H7d2_A,4
C4A7Ch5H11d2_A,3
C5A2Ch4H11d1_B,2
C4A11Ch9H8d1_A,2
C3A13Ch1H12d1_A,2
C1A6Ch1H12d2_A,2
C8A7Ch2H8d2_A,2
C6A7Ch11H12d2_A,2
C7A2Ch2H18d2_A,2
C4A7Ch3H16d2_B,4
C4A6Ch2H11d2_B,2
C4A7Ch3H7d2_B,4
C4A7Ch5H11d2_B,3
C5A2Ch4H11d2_A,2
C4A11Ch9H8d1_B,2
C3A13Ch1H12d2_A,2
C1A6Ch1H12d2_B,2
C8A7Ch2H8d1_B,2
C3A10Ch8H16d2_A,2
C7A2Ch1H14d2_B,2
C4A7Ch3H17d1_B,4
C4A6Ch2H12d1_B,2
C4A7Ch3H8d1_A,4
C4A7Ch5H12d1_A,3
C5A2Ch4H11d2_B,2
C4A11Ch9H8d2_B,2
C3A13Ch1H12d2_B,2
C1A6Ch1H13d1_A,2
C8A7Ch2H8d2_B,2
C6A7Ch11H12d1_A,2
C7A2Ch2H17d2_A,2
C4A7Ch3H17d1_A,4
C4A6Ch2H12d1_A,2
C4A7Ch3H8d1_B,4
C4A7Ch5H12d1_B,3
C5A2Ch4H12d1_B,2
C4A11Ch9H8d2_A,2
C3A13Ch1H13d1_A,2
C1A6Ch1H13d1_B,2
C8A7Ch2H9d1_A,2
C6A7Ch11H9d1_A,2
C7A2Ch1H15d2_A,2
C4A7Ch3H17d2_B,4
C4A6Ch2H12d2_A,2
C4A7Ch3H8d2_A,4
C4A7Ch5H12d2_A,3
C5A2Ch4H12d1_A,2
C4A11Ch9H9d1_B,2
C3A13Ch1H13d1_B,2
C1A6Ch1H13d2_A,2
C8A7Ch2H9d1_B,2
